('16:03:46', '16:03:46', 0.01534891128540039)
('16:03:46', '16:03:46', 0.01578807830810547)
('16:03:46', '16:03:46', 0.03127884864807129)
('16:03:47', '16:03:47', 0.015374898910522461)
('16:03:47', '16:03:47', 0.015629053115844727)
('16:03:47', '16:03:47', 0.03213310241699219)
('16:03:47', '16:03:47', 0.015539884567260742)
('16:03:47', '16:03:47', 0.015613794326782227)
('16:03:47', '16:03:47', 0.0)
('16:03:47', '16:03:47', 0.02742290496826172)
('16:03:47', '16:03:47', 0.03135490417480469)
('16:03:47', '16:03:47', 0.01511383056640625)
('16:03:47', '16:03:47', 0.015895843505859375)
('16:03:47', '16:03:47', 0.031820058822631836)
('16:03:48', '16:03:48', 0.014425039291381836)
('16:03:48', '16:03:48', 0.0159609317779541)
('16:03:48', '16:03:48', 0.016016006469726562)
('16:03:48', '16:03:48', 0.01540994644165039)
('16:03:48', '16:03:48', 0.015365123748779297)
('16:03:48', '16:03:48', 0.03156900405883789)
('16:03:48', '16:03:48', 0.015465974807739258)
('16:03:48', '16:03:48', 0.015452146530151367)
('16:03:48', '16:03:48', 0.0155029296875)
('16:03:48', '16:03:48', 0.01541900634765625)
('16:03:48', '16:03:48', 0.01539301872253418)
('16:03:49', '16:03:49', 0.01595306396484375)
('16:03:50', '16:03:50', 0.01538395881652832)
('16:03:50', '16:03:50', 0.06253385543823242)
('16:03:50', '16:03:51', 0.04726600646972656)
('16:03:51', '16:03:51', 0.01393890380859375)
('16:03:51', '16:03:51', 0.03147697448730469)
('16:03:51', '16:03:51', 0.016438961029052734)
('16:03:51', '16:03:51', 0.03195309638977051)
('16:03:51', '16:03:51', 0.015373945236206055)
('16:03:51', '16:03:51', 0.015873193740844727)
('16:03:51', '16:03:51', 0.031232833862304688)
('16:03:51', '16:03:52', 0.03146219253540039)
('16:03:52', '16:03:52', 0.031116962432861328)
('16:03:52', '16:03:52', 0.026947021484375)
('16:03:52', '16:03:52', 0.20290589332580566)
('16:03:52', '16:03:52', 0.01589512825012207)
('16:03:53', '16:03:53', 0.03110790252685547)
('16:03:53', '16:03:53', 0.015583038330078125)
('16:03:53', '16:03:53', 0.030981063842773438)
('16:03:53', '16:03:53', 0.016231060028076172)
('16:03:53', '16:03:53', 0.015480995178222656)
('16:03:54', '16:03:54', 0.015612125396728516)
('16:03:54', '16:03:54', 0.04684782028198242)
('16:03:54', '16:03:54', 0.04708695411682129)
('16:03:54', '16:03:54', 0.015547037124633789)
('16:03:54', '16:03:54', 0.015990018844604492)
('16:03:55', '16:03:55', 0.007970094680786133)
('16:03:55', '16:03:55', 0.03141593933105469)
('16:03:55', '16:03:55', 0.015974044799804688)
('16:03:55', '16:03:55', 0.04720306396484375)
('16:03:55', '16:03:55', 0.014983177185058594)
('16:03:56', '16:03:56', 0.07829594612121582)
('16:03:56', '16:03:56', 0.015421867370605469)
('16:03:56', '16:03:56', 0.015459060668945312)
('16:03:56', '16:03:56', 0.015507936477661133)
('16:03:57', '16:03:57', 0.015434026718139648)
